Date,Price
1/2010,89.2
2/2010,91.5
3/2010,94.8
4/2010,98.8
5/2010,103.8
6/2010,106.1
7/2010,104.3
8/2010,103.5
9/2010,104.3
10/2010,103
11/2010,99.7
12/2010,101
1/2011,99.2
2/2011,98.6
3/2011,100.8
4/2011,102.9
5/2011,104.5
6/2011,107
7/2011,107.4
8/2011,105
9/2011,108.1
10/2011,106.7
11/2011,106
12/2011,103.9
1/2012,103.6
2/2012,103
3/2012,105.9
4/2012,112.4
5/2012,112.1
6/2012,114
7/2012,114.1
8/2012,112.5
9/2012,111.3
10/2012,111.5
11/2012,112
12/2012,108.6
1/2013,109
2/2013,110.9
3/2013,114.7
4/2013,114.1
5/2013,115.8
6/2013,113
7/2013,110.9
8/2013,109.9
9/2013,107.2
10/2013,107.2
11/2013,105.9
12/2013,105.6
1/2014,104.1
2/2014,103.1
3/2014,106.6
4/2014,105.9
5/2014,105
6/2014,104.8
7/2014,103.3
8/2014,104.5
9/2014,104.4
10/2014,106.9
11/2014,108.6
12/2014,110.9
1/2015,113.5
2/2015,112.4
3/2015,115.6
4/2015,116.9
5/2015,113.2
6/2015,111.2
7/2015,108.2
8/2015,107.7
9/2015,104.9
10/2015,104.5
11/2015,101.1
12/2015,98.2
1/2016,99.7
2/2016,98.9
3/2016,101
4/2016,99.4
5/2016,98
6/2016,98.3
7/2016,101.6
8/2016,101.9
9/2016,103
10/2016,109.7
11/2016,109.1
12/2016,110.5
1/2017,108.2
2/2017,108.1
3/2017,109
4/2017,106.8
5/2017,105.7
6/2017,107.5
7/2017,106.8
8/2017,107.7
9/2017,108.4
10/2017,112
11/2017,113.3
12/2017,113.1
1/2018,115.4
2/2018,114.6
3/2018,118.5
4/2018,119
5/2018,125
6/2018,132.7
7/2018,132.2
8/2018,133.6
9/2018,132.9
10/2018,129.9
11/2018,128.5
12/2018,131.1
1/2019,124
2/2019,123.5
3/2019,121.3
4/2019,122.4
5/2019,121.1
6/2019,121
7/2019,110.1
8/2019,110.3
9/2019,106.6
10/2019,104.9
11/2019,102.2
12/2019,101
1/2020,90.7
2/2020,85.1
3/2020,97
4/2020,104.2
5/2020,105.1
6/2020,93.3
7/2020,96
8/2020,97.2
9/2020,97.9
10/2020,98.8
11/2020,99.1
12/2020,99
1/2021,111.9
2/2021,110.7
3/2021,114.4
4/2021,131.1
5/2021,138.7
6/2021,155.9
7/2021,174.3
8/2021,174.2
9/2021,158.6
10/2021,154.7
11/2021,156
12/2021,148.4
1/2022,140.2
