Date,Price
1/2010,84.6
2/2010,84.4
3/2010,86.2
4/2010,93.6
5/2010,99.2
6/2010,106.7
7/2010,110.5
8/2010,110.3
9/2010,109
10/2010,106.7
11/2010,105.2
12/2010,103.5
1/2011,104.2
2/2011,107.1
3/2011,110.4
4/2011,115.3
5/2011,117.9
6/2011,117.8
7/2011,115.1
8/2011,114.4
9/2011,113.8
10/2011,111.8
11/2011,111
12/2011,108.8
1/2012,108.5
2/2012,109
3/2012,110.4
4/2012,111.4
5/2012,112.1
6/2012,111.2
7/2012,109.7
8/2012,109.5
9/2012,108.7
10/2012,107.1
11/2012,105.3
12/2012,105.8
1/2013,106
2/2013,105.1
3/2013,106.3
4/2013,107
5/2013,105.8
6/2013,105
7/2013,103.7
8/2013,101.5
9/2013,101.7
10/2013,102.3
11/2013,101
12/2013,101.9
1/2014,102.4
2/2014,102
3/2014,101.6
4/2014,100.1
5/2014,101
6/2014,101.9
7/2014,101
8/2014,101.1
9/2014,100.2
10/2014,99.2
11/2014,98
12/2014,96.9
1/2015,93.9
2/2015,92.6
3/2015,91.1
4/2015,91.6
5/2015,90.8
6/2015,89.6
7/2015,88.2
8/2015,87.9
9/2015,87.4
10/2015,86.5
11/2015,87
12/2015,85.8
1/2016,84.9
2/2016,83.7
3/2016,81.6
4/2016,82.3
5/2016,84.9
6/2016,87.3
7/2016,88.9
8/2016,90.5
9/2016,91.3
10/2016,90.8
11/2016,90.6
12/2016,89.9
1/2017,95
2/2017,95.2
3/2017,95.6
4/2017,96.8
5/2017,96.6
6/2017,97.7
7/2017,97.8
8/2017,98.5
9/2017,97.7
10/2017,100.8
11/2017,102.2
12/2017,103.2
1/2018,104.2
2/2018,104.9
3/2018,106.3
4/2018,106
5/2018,106.4
6/2018,106.5
7/2018,106.5
8/2018,107.3
9/2018,108.5
10/2018,108.8
11/2018,108.8
12/2018,108.7
1/2019,109
2/2019,109.5
3/2019,109.7
4/2019,110.5
5/2019,110.2
6/2019,109.8
7/2019,109.8
8/2019,108.5
9/2019,107.7
10/2019,106.7
11/2019,104.1
12/2019,103.3
1/2020,109.1
2/2020,109.2
3/2020,113.2
4/2020,114.6
5/2020,115.9
6/2020,113.3
7/2020,111.8
8/2020,110.9
9/2020,111.7
10/2020,113.9
11/2020,120.2
12/2020,121.6
1/2021,125.7
2/2021,132.7
3/2021,146.2
4/2021,157.2
5/2021,167.8
6/2021,179.2
7/2021,190.6
8/2021,196.8
9/2021,197.9
10/2021,196.3
11/2021,193.8
12/2021,190.7
1/2022,189.8
